,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Rwanda,RWA,-0.75,0.34,2,26.88,3.76,50.54,-0.72,0.28,4,30.41,9.79,46.39,-0.6,0.27,4,31.98,13.71,53.3,-0.42,0.28,4,41.92,22.73,59.6,-0.47,0.24,5,39.9,20.2,56.57,-0.44,0.21,7,39.02,23.9,54.15,-0.62,0.21,7,31.71,17.07,49.27,-0.21,0.19,9,50.24,36.59,59.51,0,0.19,9,57.77,47.09,66.02,0.1,0.19,9,60.19,52.43,67.96,0.09,0.19,10,60.77,51.2,69.38,0.35,0.17,12,68.1,60.48,72.38,0.36,0.17,12,68.25,59.24,72.04,0.56,0.17,12,72.04,64.93,76.78,0.63,0.17,13,72.51,66.82,78.2,0.76,0.17,12,75.48,69.23,81.73,0.64,0.17,12,73.08,66.35,78.85,0.64,0.17,11,72.6,66.35,79.81,0.63,0.17,11,71.63,64.9,80.77
Samoa,WSM,-0.03,0.48,1,56.45,25.27,76.34,-0.09,0.38,2,53.61,30.93,71.65,0.09,0.31,3,59.9,39.09,73.6,0.07,0.32,3,60.1,39.9,74.75,0.08,0.3,3,60.1,40.91,74.24,0.13,0.29,3,58.54,43.41,73.17,0.18,0.27,3,59.02,49.27,71.71,0.24,0.31,3,62.93,46.83,74.15,0.25,0.31,3,63.11,49.03,74.27,0.21,0.31,3,62.62,47.57,74.27,0.12,0.3,4,61.24,42.58,72.25,0.12,0.3,4,61.43,42.38,72.38,0.1,0.3,4,60.66,42.65,72.04,0.11,0.3,4,61.61,43.13,72.04,0.15,0.3,4,62.56,45.02,72.51,0.3,0.33,3,64.9,50,76.92,0.29,0.31,3,65.38,50.96,76.92,0.28,0.31,3,65.38,50,76.92,0.66,0.31,3,74.04,60.58,83.17
Saudi Arabia,SAU,-0.16,0.26,4,51.08,32.26,62.9,-0.25,0.23,4,47.94,31.44,61.34,-0.19,0.26,4,50.76,31.47,63.45,0.2,0.2,5,62.63,53.54,72.73,-0.15,0.22,5,55.05,35.35,62.12,-0.29,0.21,5,48.78,29.27,56.59,-0.1,0.2,5,54.63,42.44,60.98,-0.19,0.19,6,51.71,37.56,59.51,-0.17,0.18,7,53.4,37.86,59.71,-0.01,0.17,8,58.74,48.54,64.56,-0.02,0.18,9,58.85,46.89,65.55,0.04,0.17,9,59.05,50,66.19,-0.31,0.18,8,48.82,32.7,57.35,-0.04,0.17,9,57.82,46.92,63.03,-0.02,0.17,9,59.24,46.92,63.51,0.09,0.16,8,59.13,52.4,65.87,0.05,0.16,7,58.65,52.4,66.35,0.23,0.16,8,63.94,56.25,67.31,0.36,0.14,8,65.87,59.62,71.15
Sudan,SDN,-1.24,0.26,4,6.99,0,25.27,-1.07,0.21,6,13.4,1.03,29.9,-0.87,0.22,6,23.35,6.09,35.53,-1.02,0.2,6,13.64,2.02,30.81,-1.24,0.2,7,7.07,0.51,17.17,-1.28,0.18,8,8.78,0.98,14.15,-1.37,0.18,8,4.88,0,13.17,-1.18,0.18,9,9.27,1.95,19.51,-1.32,0.18,10,4.85,0,16.02,-1.42,0.18,10,3.88,0,11.17,-1.15,0.17,10,10.53,1.91,20.1,-1.19,0.17,11,9.52,1.9,18.57,-1.18,0.16,11,9,1.9,18.96,-1.49,0.16,11,0.95,0,9,-1.47,0.16,12,1.42,0,9.48,-1.45,0.15,12,3.37,0,9.13,-1.49,0.15,12,2.4,0,9.62,-1.54,0.15,12,3.37,0,8.17,-1.54,0.14,12,3.37,0,8.17
Senegal,SEN,-0.14,0.26,4,52.15,32.8,62.9,-0.15,0.21,6,51.03,36.08,63.4,-0.08,0.22,6,55.84,38.58,63.96,0.18,0.19,7,61.62,53.54,71.72,-0.16,0.18,9,54.55,40.4,61.11,-0.05,0.17,9,54.63,44.88,60.49,-0.05,0.17,10,55.61,46.83,60.98,-0.37,0.16,13,40.98,31.22,53.66,-0.51,0.15,14,36.89,24.27,49.03,-0.5,0.15,14,37.38,25.24,49.51,-0.49,0.15,13,37.8,24.88,50.72,-0.64,0.15,14,30.48,19.52,41.9,-0.5,0.14,15,38.39,23.22,50.71,-0.26,0.14,15,49.76,37.91,58.29,-0.19,0.13,16,53.55,41.71,59.24,0.06,0.13,15,58.17,52.4,63.46,0.06,0.13,15,59.13,52.88,64.9,0,0.13,15,58.17,50,62.98,-0.09,0.13,15,54.81,45.67,59.62
Singapore,SGP,2.11,0.19,7,97.31,93.01,100,2.11,0.18,7,96.91,92.27,100,2.21,0.17,7,97.46,93.91,100,2.32,0.16,7,98.99,94.44,100,2.23,0.16,8,97.98,93.94,100,2.33,0.15,9,98.54,97.07,100,2.17,0.14,9,98.05,95.12,100,2.19,0.14,11,98.05,94.63,99.02,2.24,0.15,11,98.06,94.66,100,2.25,0.14,11,98.06,95.63,100,2.22,0.14,11,98.09,94.74,99.52,2.18,0.14,11,98.57,94.29,100,2.11,0.15,12,96.68,94.31,99.53,2.12,0.14,12,97.16,94.79,99.53,2.08,0.13,12,96.68,94.79,99.05,2.07,0.13,11,96.15,95.19,100,2.09,0.13,11,96.63,93.75,100,2.09,0.14,11,97.12,93.75,100,2.13,0.13,11,97.6,95.67,100
Solomon Islands,SLB,0.34,0.44,1,65.05,43.01,81.18,0.03,0.36,2,55.67,34.02,74.74,-0.36,0.32,3,43.65,21.83,61.42,-0.71,0.36,3,30.3,3.03,53.54,-0.63,0.35,3,31.82,8.08,56.57,-0.37,0.26,4,42.93,23.41,56.59,0.04,0.25,4,57.56,44.39,67.32,-0.22,0.27,4,49.27,29.76,61.95,-0.39,0.26,5,40.78,20.39,57.77,-0.37,0.25,5,42.23,23.3,59.22,-0.29,0.27,5,48.8,24.88,61.24,-0.35,0.26,6,44.29,22.86,60.48,-0.34,0.25,6,45.5,23.22,59.24,-0.36,0.25,6,44.55,24.64,59.72,-0.4,0.26,6,42.65,21.8,59.24,-0.28,0.26,6,49.04,27.4,59.62,-0.34,0.26,6,45.67,23.08,60.1,-0.34,0.26,5,43.75,22.12,59.13,0.11,0.27,4,59.62,44.23,70.19
Sierra Leone,SLE,-0.76,0.32,3,26.34,4.84,49.46,-0.81,0.27,5,25.26,6.7,43.81,-0.89,0.27,5,20.81,4.06,37.06,-0.83,0.26,5,24.75,4.55,42.42,-0.91,0.23,7,18.18,5.56,35.35,-0.91,0.2,8,19.02,8.78,33.17,-1.07,0.2,8,13.66,2.93,24.39,-1.02,0.2,10,16.59,4.88,27.8,-0.91,0.2,10,18.93,7.28,33.5,-0.97,0.2,11,17.48,4.37,30.1,-0.93,0.18,12,19.14,6.7,28.23,-0.77,0.18,12,22.38,13.81,38.1,-0.84,0.17,13,20.85,12.8,33.65,-0.95,0.13,16,18.01,10.43,26.54,-0.91,0.13,16,19.91,11.85,28.44,-0.94,0.13,15,15.87,11.06,27.4,-0.79,0.13,15,22.6,13.46,32.21,-0.81,0.14,14,21.15,12.98,32.21,-0.59,0.13,14,31.25,20.67,42.79
El Salvador,SLV,-0.87,0.24,5,21.51,5.91,38.71,-0.77,0.22,5,28.87,12.37,42.27,-0.52,0.21,6,35.03,23.86,52.79,-0.68,0.19,7,31.82,16.67,43.43,-0.37,0.18,8,43.94,29.8,56.57,-0.42,0.17,10,40.49,26.34,52.2,-0.45,0.17,10,41.46,24.88,52.2,-0.3,0.18,11,45.37,34.63,56.59,-0.37,0.18,11,41.75,28.64,54.85,-0.36,0.18,11,43.2,30.1,54.85,-0.25,0.17,13,50.72,35.41,59.33,-0.28,0.17,13,48.1,34.29,56.67,-0.26,0.16,14,50.71,36.97,57.35,-0.41,0.14,15,42.18,30.33,52.61,-0.35,0.14,15,45.02,34.6,54.03,-0.38,0.14,14,43.27,31.73,52.4,-0.42,0.14,14,42.31,29.33,52.88,-0.52,0.14,14,34.13,23.56,46.15,-0.51,0.13,13,37.98,25,45.67
San Marino,SMR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Somalia,SOM,-1.27,0.32,3,5.38,0,26.34,-1.4,0.29,4,2.06,0,19.07,-1.57,0.28,4,0,0,10.15,-1.04,0.32,3,12.12,0,34.85,-1.57,0.25,5,0.51,0,9.09,-1.79,0.22,6,0,0,3.41,-1.68,0.22,6,0,0,5.37,-1.73,0.22,6,0,0,3.9,-1.76,0.23,6,0,0,3.4,-1.87,0.23,6,0,0,2.43,-1.72,0.21,8,0,0,3.35,-1.74,0.2,8,0,0,2.38,-1.71,0.2,8,0,0,3.32,-1.59,0.17,9,0,0,4.27,-1.58,0.17,9,0.47,0,6.16,-1.66,0.17,8,0.48,0,4.81,-1.62,0.16,9,1.44,0,5.29,-1.7,0.16,10,0.96,0,4.81,-1.72,0.14,10,0.48,0,4.81
São Tomé and Principe,STP,0.4,0.34,2,66.67,51.08,81.18,0.01,0.28,4,55.15,40.21,69.07,0.2,0.27,4,61.93,47.21,74.62,-0.07,0.28,4,55.05,34.34,69.7,-0.26,0.27,4,48.48,27.78,62.12,-0.36,0.24,5,43.41,25.37,56.1,-0.54,0.23,5,36.59,18.05,52.2,-0.29,0.21,6,46.34,31.22,59.02,-0.3,0.21,6,47.57,29.61,58.25,-0.3,0.21,6,48.06,31.07,59.22,-0.2,0.22,5,53.11,33.97,62.68,-0.25,0.21,6,49.52,31.9,60.95,-0.18,0.21,6,53.55,35.55,63.03,-0.18,0.22,6,53.08,35.07,63.03,-0.18,0.22,7,54.03,35.55,63.03,0,0.22,7,57.69,44.23,65.87,-0.05,0.21,7,56.25,43.27,65.38,-0.07,0.21,7,55.77,40.38,65.38,0.14,0.21,7,60.58,49.04,67.31
Suriname,SUR,0.19,0.32,3,61.29,46.24,75.27,0.28,0.32,3,64.43,48.45,78.35,0.48,0.34,3,71.07,55.33,83.76,0.28,0.32,3,64.65,47.98,77.78,0.33,0.31,3,68.18,53.03,77.27,0.28,0.29,4,63.9,51.22,75.61,0.22,0.26,4,60.98,51.71,71.71,-0.1,0.24,5,55.61,37.56,64.88,-0.01,0.25,5,57.28,38.83,69.9,-0.02,0.24,5,57.77,39.81,67.48,-0.26,0.21,6,50.24,31.1,59.81,-0.33,0.2,7,46.67,29.05,56.67,-0.28,0.2,7,49.76,32.7,58.29,-0.33,0.19,8,45.97,31.28,58.29,-0.28,0.19,8,47.87,34.6,59.24,-0.44,0.18,6,39.9,26.44,52.88,-0.24,0.17,5,50.48,36.54,58.17,-0.3,0.18,5,46.15,32.21,57.69,-0.17,0.16,5,50,41.83,58.65
Slovak Republic,SVK,0.22,0.24,5,62.9,50.54,73.12,0.09,0.17,7,59.28,50,66.49,0.23,0.18,8,62.94,57.36,71.57,-0.01,0.15,9,58.59,47.98,63.64,0.31,0.15,10,65.15,59.6,73.74,0.39,0.14,10,67.8,60,73.66,0.49,0.14,10,68.78,63.41,73.66,0.42,0.14,11,69.27,60.98,73.66,0.35,0.14,11,67.96,59.71,72.33,0.36,0.13,11,67.48,61.65,73.3,0.27,0.14,12,65.55,59.33,71.29,0.29,0.14,12,64.76,60.48,71.9,0.28,0.13,12,64.93,58.29,70.62,0.1,0.13,12,61.14,54.98,65.88,0.08,0.14,12,60.66,54.03,65.4,0.16,0.14,12,60.1,54.33,66.35,0.18,0.14,12,62.5,55.77,66.83,0.23,0.14,11,63.46,57.69,67.31,0.22,0.13,11,62.5,57.69,66.35
Slovenia,SVN,1.11,0.28,3,81.72,73.66,90.86,1.21,0.19,6,85.05,80.41,90.72,0.88,0.17,9,80.2,73.6,84.77,0.81,0.15,9,78.79,73.23,83.33,0.93,0.15,10,81.31,75.76,83.84,1.03,0.15,9,83.41,76.1,85.85,0.91,0.14,9,80,73.17,83.41,1.03,0.15,10,82.44,76.59,88.29,1.01,0.14,11,80.58,74.27,85.44,0.98,0.13,11,80.58,74.27,84.47,1.06,0.14,11,81.82,74.64,85.65,0.92,0.13,12,79.52,72.38,84.29,0.95,0.14,11,79.15,72.99,83.89,0.84,0.12,13,76.78,72.51,81.04,0.73,0.13,13,74.41,70.14,79.15,0.73,0.13,13,74.52,69.23,78.85,0.77,0.13,13,76.44,68.75,80.29,0.82,0.13,12,77.4,70.19,81.25,0.81,0.12,12,79.33,71.15,81.73
Sweden,SWE,2.17,0.21,6,98.92,93.01,100,2.23,0.19,6,98.97,93.3,100,2.3,0.2,6,98.98,93.91,100,2.26,0.18,6,97.98,93.43,100,2.21,0.19,6,97.47,92.93,100,2.16,0.18,6,97.56,93.17,100,2.02,0.17,6,97.56,92.68,99.02,2.2,0.16,9,98.54,94.63,99.02,2.24,0.17,9,98.54,93.69,100,2.23,0.16,9,97.57,94.66,100,2.25,0.17,9,99.04,94.74,100,2.27,0.18,8,99.05,94.76,100,2.2,0.16,9,98.58,94.31,100,2.31,0.15,9,99.05,95.73,100,2.29,0.15,9,98.58,96.21,100,2.15,0.14,9,98.08,95.19,100,2.24,0.14,9,98.56,95.67,100,2.19,0.15,10,98.08,95.19,100,2.14,0.13,10,98.08,95.19,100
Swaziland,SWZ,0.04,0.34,2,58.6,35.48,73.12,0.07,0.28,4,58.25,42.27,71.13,-0.19,0.27,4,51.78,31.47,63.96,-0.26,0.28,4,47.98,29.29,63.13,-0.43,0.27,4,40.91,20.2,58.59,-0.53,0.23,6,35.12,18.05,52.2,-0.47,0.23,6,40.49,20,54.63,-0.22,0.21,7,49.76,34.63,60,-0.24,0.21,7,50.49,33.5,59.71,-0.22,0.21,7,51.46,34.47,60.68,-0.23,0.21,7,51.2,33.49,61.24,-0.23,0.19,8,50.48,34.29,60.48,-0.35,0.18,9,44.55,28.91,56.4,-0.41,0.19,10,41.71,27.49,56.4,-0.41,0.19,11,41.71,26.07,54.5,-0.43,0.19,10,41.35,26.44,53.85,-0.39,0.19,10,43.75,26.92,54.81,-0.45,0.2,9,37.98,22.12,53.85,-0.3,0.19,8,45.67,29.81,57.69
Seychelles,SYC,0.55,0.34,2,72.58,56.99,81.18,0.33,0.28,4,65.46,51.55,77.84,0.45,0.27,4,70.05,57.87,82.23,0.34,0.28,4,67.68,53.54,78.28,0.41,0.27,4,71.21,57.07,77.78,0.27,0.2,6,63.41,54.15,72.2,0.23,0.2,6,61.46,54.63,70.24,0.12,0.21,6,60,48.78,70.73,0.19,0.21,6,61.17,53.4,72.33,0.39,0.22,5,67.96,59.22,74.27,0.43,0.21,6,69.86,59.81,74.16,0.45,0.21,6,70.48,60.95,74.76,0.42,0.21,6,69.67,59.24,73.46,0.42,0.21,7,69.67,60.66,73.93,0.44,0.2,8,69.19,61.14,74.41,0.44,0.2,8,68.27,59.13,75.48,0.88,0.19,8,77.88,68.75,84.13,0.78,0.21,7,76.92,66.35,81.73,0.68,0.19,8,74.52,65.87,81.25
Syrian Arab Republic,SYR,-0.88,0.26,4,19.89,3.76,38.71,-0.91,0.23,4,20.1,4.12,35.05,-1.03,0.26,4,14.21,2.54,31.47,-0.39,0.22,4,43.43,27.27,56.06,-0.8,0.22,5,24.75,9.09,40.4,-0.82,0.2,7,22.93,10.73,36.59,-0.85,0.2,7,20.98,11.71,37.56,-1.06,0.17,9,14.63,4.88,23.9,-1.1,0.16,10,12.14,3.88,19.9,-1.15,0.16,10,10.68,3.88,19.42,-1.13,0.17,11,11.96,2.87,20.1,-1.13,0.16,11,12.86,2.38,20,-1.09,0.17,10,13.74,3.79,21.33,-1.21,0.17,9,9.95,0.47,18.48,-1.26,0.17,9,8.53,0.47,16.11,-1.55,0.17,8,2.4,0,7.69,-1.55,0.17,8,1.92,0,8.17,-1.57,0.18,7,2.4,0,8.65,-1.56,0.16,6,2.4,0,8.17
Chad,TCD,-1.38,0.34,2,3.23,0,25.27,-1.26,0.28,4,6.19,0,25.26,-1.11,0.27,4,11.17,0,30.96,-1.15,0.28,4,9.09,0,31.31,-1.37,0.21,6,4.04,0,11.11,-1.38,0.19,7,4.88,0,13.66,-1.51,0.19,7,1.46,0,10.73,-1.35,0.16,10,4.88,0.49,12.2,-1.38,0.16,10,3.88,0,10.68,-1.52,0.16,10,1.46,0,4.85,-1.4,0.17,10,2.87,0,11,-1.38,0.17,10,2.86,0.48,12.86,-1.33,0.17,10,4.74,0,15.17,-1.31,0.18,10,3.79,0,15.17,-1.35,0.18,11,4.27,0,12.32,-1.32,0.17,11,6.25,0.48,13.94,-1.36,0.17,11,5.29,0.48,12.02,-1.49,0.17,11,4.81,0,10.1,-1.43,0.17,11,5.29,0.96,12.02
Togo,TGO,-0.84,0.32,3,24.19,3.23,46.24,-0.8,0.27,5,25.77,6.7,44.33,-0.76,0.27,5,26.9,6.6,44.67,-0.81,0.26,5,25.76,5.05,43.43,-0.92,0.23,6,17.68,5.56,35.35,-0.96,0.2,7,16.1,7.8,29.27,-0.87,0.2,8,20,10.73,36.1,-1.04,0.18,10,15.61,5.37,24.88,-0.99,0.18,10,17.96,5.83,28.16,-0.97,0.18,9,16.99,4.85,28.64,-1.02,0.18,9,16.75,4.31,24.88,-0.96,0.17,10,17.14,7.14,28.1,-1.01,0.16,11,17.06,5.69,23.22,-1,0.15,11,16.11,8.06,26.07,-1.03,0.16,12,15.17,6.16,22.75,-0.89,0.15,12,18.27,11.06,29.81,-0.73,0.15,13,25.48,14.9,37.5,-0.68,0.15,13,28.37,15.38,38.46,-0.71,0.14,13,25.96,15.87,38.94
Thailand,THA,-0.36,0.19,7,45.16,30.65,54.3,-0.07,0.17,8,54.64,44.33,63.4,-0.19,0.16,8,51.27,37.56,58.88,-0.31,0.16,8,45.96,33.84,55.56,-0.17,0.15,9,53.03,40.91,59.6,-0.23,0.14,11,50.73,38.05,56.1,-0.19,0.14,12,52.2,42.44,57.07,-0.38,0.13,14,40.49,33.17,52.68,-0.37,0.14,15,42.23,32.52,53.88,-0.41,0.13,15,40.29,32.04,53.4,-0.31,0.13,15,46.41,35.89,55.98,-0.33,0.13,14,46.19,34.29,54.29,-0.32,0.14,15,47.39,34.6,55.45,-0.37,0.13,15,44.08,34.12,53.08,-0.34,0.13,15,45.97,35.07,54.03,-0.45,0.12,14,38.94,29.81,50,-0.49,0.12,14,37.02,26.92,47.6,-0.39,0.13,14,42.31,32.21,50.48,-0.39,0.12,13,42.79,31.25,49.52
Tajikistan,TJK,-1.27,0.34,2,5.91,0,29.03,-1.27,0.23,4,5.67,0.52,20.62,-1.28,0.21,5,5.58,0,18.78,-1.17,0.21,6,8.08,0,25.25,-1.14,0.19,7,10.1,1.52,21.72,-1.29,0.18,8,8.29,0.98,14.15,-1.17,0.16,9,11.71,2.44,18.05,-1.03,0.15,12,16.1,6.83,23.9,-1.04,0.15,12,15.53,5.83,22.82,-1.18,0.14,12,8.25,3.88,17.96,-1.21,0.15,12,7.18,1.91,18.18,-1.29,0.15,11,4.76,1.43,14.76,-1.22,0.15,12,8.06,1.9,17.54,-1.28,0.15,12,6.64,0,15.17,-1.28,0.17,10,7.11,0.47,15.64,-1.13,0.17,11,12.5,3.85,20.19,-1.13,0.16,11,11.54,3.85,19.23,-1.15,0.16,11,12.02,5.77,16.83,-1.33,0.16,10,7.69,0.96,12.5
Turkmenistan,TKM,-1.02,0.34,2,15.59,0.54,38.71,-1.1,0.23,4,12.89,0.52,29.9,-1.13,0.22,4,9.14,2.03,26.4,-1.27,0.22,4,4.55,0,21.21,-1.22,0.2,5,7.58,0.51,18.69,-1.47,0.19,5,2.44,0,10.73,-1.46,0.16,6,1.95,0,10.73,-1.52,0.18,6,1.95,0,7.32,-1.52,0.17,6,1.94,0,7.28,-1.5,0.16,6,2.43,0,5.83,-1.53,0.17,6,1.44,0,5.74,-1.53,0.16,6,1.43,0,5.71,-1.54,0.17,6,1.42,0,5.69,-1.43,0.17,7,1.9,0,10.9,-1.41,0.17,7,2.84,0,10.9,-1.31,0.17,7,6.73,0.48,13.94,-1.35,0.17,7,5.77,0.48,12.98,-1.52,0.17,7,4.33,0,9.62,-1.48,0.17,7,4.33,0,10.1
Timor-Leste,TMP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.21,0.36,2,49.49,26.26,68.69,-0.22,0.32,4,50.51,26.77,64.14,-0.3,0.3,5,47.32,23.9,60.49,-0.56,0.24,5,35.12,17.56,52.2,-0.6,0.23,6,32.68,17.56,48.78,-0.65,0.23,8,30.1,16.02,48.54,-0.65,0.22,8,31.07,15.53,48.54,-0.8,0.2,9,23.44,11.96,37.8,-0.76,0.2,8,23.81,13.81,40.48,-0.81,0.2,8,22.27,12.32,38.86,-0.74,0.21,8,26.54,12.8,42.65,-0.68,0.2,8,28.91,15.17,45.02,-0.53,0.21,7,35.58,20.19,52.4,-0.52,0.22,6,36.54,19.23,52.88,-0.51,0.22,6,34.62,16.83,52.88,-0.54,0.23,5,34.62,16.35,50.48
Tonga,TON,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.2,0.57,1,50,12.37,76.8,-0.4,0.39,2,40.1,13.71,63.45,-0.54,0.44,2,34.34,5.05,61.11,-0.5,0.43,2,35.86,8.08,62.12,-0.43,0.29,3,39.51,18.05,56.59,-1.33,0.27,3,5.37,0,18.05,-1.34,0.31,3,5.37,0,21.46,-1.04,0.31,3,15.05,0.97,35.44,-0.66,0.31,3,30.1,9.71,53.4,-0.68,0.3,4,27.27,10.05,53.59,-0.33,0.3,4,45.71,20.95,62.38,-0.33,0.3,4,46.45,21.33,62.56,-0.32,0.3,4,46.92,22.27,62.56,-0.28,0.3,4,47.39,22.27,63.03,-0.31,0.33,3,47.12,20.19,62.02,-0.47,0.3,4,38.94,14.9,57.69,-0.45,0.3,4,38.46,15.38,59.13,-0.16,0.29,4,51.44,29.81,64.42
Trinidad and Tobago,TTO,0.9,0.26,4,80.65,69.89,87.1,0.59,0.22,5,73.71,63.4,81.96,0.24,0.21,6,63.96,54.82,73.1,-0.02,0.19,6,57.58,44.44,64.65,0.06,0.2,6,59.6,47.47,69.7,-0.03,0.19,7,55.61,44.88,63.9,0.02,0.18,7,56.59,48.78,63.9,-0.11,0.19,8,54.63,39.02,61.46,-0.04,0.2,8,56.8,42.72,64.56,-0.06,0.2,7,55.83,41.26,63.59,-0.04,0.2,7,58.37,42.58,66.03,-0.17,0.2,8,53.81,37.62,62.38,-0.11,0.19,8,54.98,40.28,63.51,-0.16,0.17,9,53.55,39.34,62.09,-0.22,0.18,9,51.18,37.44,60.19,-0.41,0.17,8,42.79,27.88,52.88,-0.3,0.15,9,47.12,33.17,55.77,-0.24,0.15,9,50,35.58,58.17,-0.36,0.15,7,44.23,30.29,52.88
Tunisia,TUN,-0.53,0.26,4,35.48,17.74,53.23,-0.24,0.21,6,48.97,32.47,60.31,-0.23,0.22,6,48.22,32.49,61.42,0.37,0.18,7,68.69,59.6,76.26,0.16,0.18,8,61.62,55.05,71.72,0.08,0.16,10,57.07,51.22,65.85,-0.26,0.17,10,49.76,37.56,56.1,-0.19,0.15,11,52.2,38.54,59.02,-0.25,0.16,11,49.51,36.41,57.77,-0.3,0.15,12,47.57,34.47,55.83,-0.22,0.16,12,51.67,37.8,59.33,-0.26,0.16,12,48.57,36.67,56.67,-0.06,0.15,13,56.4,48.82,63.51,-0.06,0.14,14,56.87,47.39,62.56,-0.07,0.13,16,56.87,46.92,62.56,-0.04,0.13,15,55.77,50,60.58,-0.07,0.13,15,55.77,47.6,61.06,-0.14,0.13,15,53.37,43.27,59.13,-0.11,0.13,14,53.85,44.71,59.13
Turkey,TUR,-0.15,0.21,6,51.61,36.56,61.83,-0.3,0.18,7,45.36,32.47,54.64,-0.2,0.19,8,49.75,35.53,60.91,-0.52,0.17,8,34.85,26.26,47.98,-0.18,0.16,9,52.02,40.4,60.1,-0.18,0.15,12,51.71,40.49,56.59,-0.03,0.15,12,56.1,48.78,60.49,0.03,0.14,14,58.05,51.22,63.41,0.11,0.14,14,59.71,54.37,67.48,0.11,0.14,15,60.68,53.88,66.02,0.09,0.14,15,60.29,54.07,67.46,0.03,0.15,15,58.57,52.38,63.81,0.04,0.14,16,58.29,53.08,63.98,0.16,0.13,16,62.56,56.87,67.3,0.09,0.13,15,61.14,54.03,64.93,-0.15,0.13,14,52.88,44.23,58.17,-0.15,0.13,14,53.37,44.23,58.65,-0.19,0.13,13,50.48,40.38,58.17,-0.19,0.13,12,49.52,42.31,57.69
